id,celltype
0,Acinar
1,Adipocyte
2,Alveoli
3,At2
4,Bcell
5,Cardiomyocyte
6,Cartilage
7,Cumulus
8,Dendritic
9,Endothelial
10,Enterocyte
11,Epithelial
12,Embryo_Stem
13,Granulocyte
14,Leydig
15,Luteal
16,Megakaryocyte
17,Mesenchymal_Stem
18,Microglia
19,Mono/Macrophage
20,Multipotent
21,Myelinating
22,Neuron
23,Nkcell
24,Osteoblast
25,Unknown
26,Proximal_tubule
27,Radial
28,Redblood
29,Schwann
30,Sertoli
31,Smooth_muscle
32,Spermatid
33,Stomach
34,Stromal
35,Tcell
36,Trophoblast
37,Troph_Stem
